director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,description
Ron Howard,Paddy Considine,Bruce McGill,Rosemarie DeWitt,Biography Drama Sport,Cinderella Man,Cinderella Man Paddy Considine Bruce McGill Rosemarie DeWitt Biography Drama Sport
Andrey Konchalovskiy,Shirley Henderson,Nathan Lane,Richard E. Grant,Action Family Fantasy Musical,The Nutcracker in 3D,The Nutcracker in 3D Shirley Henderson Nathan Lane Richard E. Grant Action Family Fantasy Musical
Gary Ross,Jeff Bridges,Michael Angarano,Michael O'Neill,Drama History Sport,Seabiscuit,Seabiscuit Jeff Bridges Michael Angarano Michael O'Neill Drama History Sport
Jan de Bont,Philip Seymour Hoffman,Alan Ruck,Jami Gertz,Action Adventure Drama Thriller,Twister,Twister Philip Seymour Hoffman Alan Ruck Jami Gertz Action Adventure Drama Thriller
Robert Zemeckis,Tom Hanks,Paul Sanchez,Nick Searcy,Adventure Drama Romance,Cast Away,Cast Away Tom Hanks Paul Sanchez Nick Searcy Adventure Drama Romance
George Miller,Robin Williams,Hugh Jackman,Elizabeth Daily,Animation Comedy Family Music Romance,Happy Feet,Happy Feet Robin Williams Hugh Jackman Elizabeth Daily Animation Comedy Family Music Romance
Paul Greengrass,Matt Damon,Joan Allen,Oksana Akinshina,Action Mystery Thriller,The Bourne Supremacy,The Bourne Supremacy Matt Damon Joan Allen Oksana Akinshina Action Mystery Thriller
Wolfgang Petersen,Harrison Ford,Gary Oldman,Dean Stockwell,Action Adventure Drama Thriller,Air Force One,Air Force One Harrison Ford Gary Oldman Dean Stockwell Action Adventure Drama Thriller
Steven Soderbergh,Brad Pitt,Bernie Mac,Elliott Gould,Crime Thriller,Ocean's Eleven,Ocean's Eleven Brad Pitt Bernie Mac Elliott Gould Crime Thriller
Paul W.S. Anderson,Milla Jovovich,Logan Lerman,Orlando Bloom,Action Adventure Romance,The Three Musketeers,The Three Musketeers Milla Jovovich Logan Lerman Orlando Bloom Action Adventure Romance
Genndy Tartakovsky,Steve Buscemi,Adam Sandler,Jon Lovitz,Animation Comedy Family Fantasy,Hotel Transylvania,Hotel Transylvania Steve Buscemi Adam Sandler Jon Lovitz Animation Comedy Family Fantasy
Kevin Lima,Jeff Bennett,Teala Dunn,Fred Tatasciore,Animation Comedy Family Fantasy Musical Romance,Enchanted,Enchanted Jeff Bennett Teala Dunn Fred Tatasciore Animation Comedy Family Fantasy Musical Romance
unknown,Caroline Dhavernas,Scott Thompson,Hettienne Park,Crime Drama Horror Mystery Thriller,Hannibal            ,Hannibal             Caroline Dhavernas Scott Thompson Hettienne Park Crime Drama Horror Mystery Thriller
Daniel Espinosa,Denzel Washington,Ryan Reynolds,Sam Shepard,Action Crime Mystery Thriller,Safe House,Safe House Denzel Washington Ryan Reynolds Sam Shepard Action Crime Mystery Thriller
Kevin Lima,Ioan Gruffudd,Eric Idle,Jim Carter,Adventure Comedy Family,102 Dalmatians,102 Dalmatians Ioan Gruffudd Eric Idle Jim Carter Adventure Comedy Family
Brett Ratner,Matthew Broderick,Gabourey Sidibe,Judd Hirsch,Action Comedy Crime,Tower Heist,Tower Heist Matthew Broderick Gabourey Sidibe Judd Hirsch Action Comedy Crime
Nancy Meyers,Kate Winslet,Rufus Sewell,Sarah Parish,Comedy Romance,The Holiday,The Holiday Kate Winslet Rufus Sewell Sarah Parish Comedy Romance
Tony Scott,Will Smith,Jake Busey,Lisa Bonet,Action Crime Drama Mystery Thriller,Enemy of the State,Enemy of the State Will Smith Jake Busey Lisa Bonet Action Crime Drama Mystery Thriller
Nancy Meyers,Meryl Streep,Hunter Parrish,Zoe Kazan,Comedy Drama Romance,It's Complicated,It's Complicated Meryl Streep Hunter Parrish Zoe Kazan Comedy Drama Romance
Steven Soderbergh,Al Pacino,Matt Damon,Brad Pitt,Crime Thriller,Ocean's Thirteen,Ocean's Thirteen Al Pacino Matt Damon Brad Pitt Crime Thriller
Roger Allers,Jon Favreau,Debra Messing,Jane Krakowski,Adventure Animation Comedy Family,Open Season,Open Season Jon Favreau Debra Messing Jane Krakowski Adventure Animation Comedy Family
Neil Burger,Kate Winslet,Theo James,Mekhi Phifer,Adventure Mystery Sci-Fi,Divergent,Divergent Kate Winslet Theo James Mekhi Phifer Adventure Mystery Sci-Fi
Jean-Jacques Annaud,Bob Hoskins,Gabriel Thomson,Clemens Schick,Drama History War,Enemy at the Gates,Enemy at the Gates Bob Hoskins Gabriel Thomson Clemens Schick Drama History War
Peter Berg,Dwayne Johnson,Rosario Dawson,Ewen Bremner,Action Adventure Comedy Thriller,The Rundown,The Rundown Dwayne Johnson Rosario Dawson Ewen Bremner Action Adventure Comedy Thriller
John McTiernan,F. Murray Abraham,Tom Noonan,Joan Plowright,Action Adventure Comedy Fantasy,Last Action Hero,Last Action Hero F. Murray Abraham Tom Noonan Joan Plowright Action Adventure Comedy Fantasy
Rob Marshall,Li Gong,Mako,Karl Yune,Drama Romance,Memoirs of a Geisha,Memoirs of a Geisha Li Gong Mako Karl Yune Drama Romance
Justin Lin,Amber Stevens West,Zachery Ty Bryan,Nikki Griffin,Action Crime Thriller,The Fast and the Furious: Tokyo Drift,The Fast and the Furious: Tokyo Drift Amber Stevens West Zachery Ty Bryan Nikki Griffin Action Crime Thriller
Sarah Smith,Jim Broadbent,Imelda Staunton,Michael Palin,Adventure Animation Comedy Family Fantasy,Arthur Christmas,Arthur Christmas Jim Broadbent Imelda Staunton Michael Palin Adventure Animation Comedy Family Fantasy
Martin Brest,Anthony Hopkins,Brad Pitt,Jake Weber,Drama Fantasy Romance,Meet Joe Black,Meet Joe Black Anthony Hopkins Brad Pitt Jake Weber Drama Fantasy Romance
Andrew Davis,Raymond Cruz,Rick Worthy,Jsu Garcia,Action Drama Thriller,Collateral Damage,Collateral Damage Raymond Cruz Rick Worthy Jsu Garcia Action Drama Thriller
Bob Fosse,Roy Scheider,Ben Vereen,Max Wright,Comedy Drama Music Musical,All That Jazz,All That Jazz Roy Scheider Ben Vereen Max Wright Comedy Drama Music Musical
Tarsem Singh,Julia Roberts,Nathan Lane,Danny Woodburn,Adventure Comedy Drama Family Fantasy,Mirror Mirror,Mirror Mirror Julia Roberts Nathan Lane Danny Woodburn Adventure Comedy Drama Family Fantasy
Edgar Wright,Anna Kendrick,Kieran Culkin,Ellen Wong,Action Comedy Fantasy Romance,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World Anna Kendrick Kieran Culkin Ellen Wong Action Comedy Fantasy Romance
Jon Amiel,Glenn Morshower,Tchéky Karyo,Rekha Sharma,Action Adventure Sci-Fi Thriller,The Core,The Core Glenn Morshower Tchéky Karyo Rekha Sharma Action Adventure Sci-Fi Thriller
Peter Segal,Larry Miller,Janet Jackson,Chris Elliott,Comedy Romance Sci-Fi,Nutty Professor II: The Klumps,Nutty Professor II: The Klumps Larry Miller Janet Jackson Chris Elliott Comedy Romance Sci-Fi
Raja Gosnell,Sarah Michelle Gellar,Linda Cardellini,Miguel A. Núñez Jr.,Adventure Comedy Mystery,Scooby-Doo,Scooby-Doo Sarah Michelle Gellar Linda Cardellini Miguel A. Núñez Jr. Adventure Comedy Mystery
Frank Coraci,Adam Sandler,Cameron Monaghan,Julie Kavner,Comedy Drama Fantasy Romance,Click,Click Adam Sandler Cameron Monaghan Julie Kavner Comedy Drama Fantasy Romance
Brad Peyton,Jack McBrayer,Sean Hayes,Katt Williams,Action Comedy Family Fantasy,Cats & Dogs: The Revenge of Kitty Galore,Cats & Dogs: The Revenge of Kitty Galore Jack McBrayer Sean Hayes Katt Williams Action Comedy Family Fantasy
Doug Liman,Kristen Stewart,Hayden Christensen,Tom Hulce,Action Adventure Sci-Fi Thriller,Jumper,Jumper Kristen Stewart Hayden Christensen Tom Hulce Action Adventure Sci-Fi Thriller
Guillermo del Toro,Seth MacFarlane,Iván Kamarás,Brian Steele,Action Adventure Fantasy Horror Sci-Fi,Hellboy II: The Golden Army,Hellboy II: The Golden Army Seth MacFarlane Iván Kamarás Brian Steele Action Adventure Fantasy Horror Sci-Fi
David Fincher,Robert Downey Jr.,Jake Gyllenhaal,Anthony Edwards,Crime Drama History Mystery Thriller,Zodiac,Zodiac Robert Downey Jr. Jake Gyllenhaal Anthony Edwards Crime Drama History Mystery Thriller
Roger Spottiswoode,Robert Duvall,Michael Rapaport,Tony Goldwyn,Action Mystery Sci-Fi Thriller,The 6th Day,The 6th Day Robert Duvall Michael Rapaport Tony Goldwyn Action Mystery Sci-Fi Thriller
Tom Shadyac,Morgan Freeman,Steve Carell,Lisa Ann Walter,Comedy Drama,Bruce Almighty,Bruce Almighty Morgan Freeman Steve Carell Lisa Ann Walter Comedy Drama
Sylvester Stallone,Jason Statham,Sylvester Stallone,Jet Li,Action Adventure Thriller,The Expendables,The Expendables Jason Statham Sylvester Stallone Jet Li Action Adventure Thriller
Brian De Palma,Tom Cruise,Kristin Scott Thomas,Vanessa Redgrave,Action Adventure Thriller,Mission: Impossible,Mission: Impossible Tom Cruise Kristin Scott Thomas Vanessa Redgrave Action Adventure Thriller
Gary Ross,Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds,Adventure Drama Sci-Fi Thriller,The Hunger Games,The Hunger Games Jennifer Lawrence Josh Hutcherson Anthony Reynolds Adventure Drama Sci-Fi Thriller
Todd Phillips,Bradley Cooper,Mason Lee,Mike Tyson,Comedy,The Hangover Part II,The Hangover Part II Bradley Cooper Mason Lee Mike Tyson Comedy
Tim Burton,Michael Gough,Vincent Schiavelli,Andrew Bryniarski,Action,Batman Returns,Batman Returns Michael Gough Vincent Schiavelli Andrew Bryniarski Action
Tim Johnson,Bruce Willis,Steve Carell,Catherine O'Hara,Adventure Animation Comedy Family,Over the Hedge,Over the Hedge Bruce Willis Steve Carell Catherine O'Hara Adventure Animation Comedy Family
Dean DeBlois,Tia Carrere,Jason Scott Lee,David Ogden Stiers,Adventure Animation Comedy Drama Family Fantasy Sci-Fi,Lilo & Stitch,Lilo & Stitch Tia Carrere Jason Scott Lee David Ogden Stiers Adventure Animation Comedy Drama Family Fantasy Sci-Fi
Gary Winick,Steve Buscemi,Julia Roberts,Oprah Winfrey,Comedy Family Fantasy,Charlotte's Web,Charlotte's Web Steve Buscemi Julia Roberts Oprah Winfrey Comedy Family Fantasy
Mimi Leder,Morgan Freeman,Jon Favreau,Robert Duvall,Action Drama Romance Sci-Fi Thriller,Deep Impact,Deep Impact Morgan Freeman Jon Favreau Robert Duvall Action Drama Romance Sci-Fi Thriller
Dean Parisot,Bruce Willis,Anthony Hopkins,Garrick Hagon,Action Comedy Crime Thriller,RED 2,RED 2 Bruce Willis Anthony Hopkins Garrick Hagon Action Comedy Crime Thriller
Peter Segal,Adam Sandler,Steve Reevis,Dalip Singh,Comedy Crime Sport,The Longest Yard,The Longest Yard Adam Sandler Steve Reevis Dalip Singh Comedy Crime Sport
Mike Mitchell,Amy Poehler,Jesse McCartney,Lauren Gottlieb,Adventure Animation Comedy Family Fantasy Music,Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked Amy Poehler Jesse McCartney Lauren Gottlieb Adventure Animation Comedy Family Fantasy Music
Dennis Dugan,Steve Buscemi,Adam Sandler,Jon Lovitz,Comedy,Grown Ups 2,Grown Ups 2 Steve Buscemi Adam Sandler Jon Lovitz Comedy
Peter Segal,Bill Murray,Dwayne Johnson,Anne Hathaway,Action Adventure Comedy,Get Smart,Get Smart Bill Murray Dwayne Johnson Anne Hathaway Action Adventure Comedy
Nancy Meyers,Keanu Reeves,Jon Favreau,Paul Michael Glaser,Comedy Drama Romance,Something's Gotta Give,Something's Gotta Give Keanu Reeves Jon Favreau Paul Michael Glaser Comedy Drama Romance
Martin Scorsese,Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto,Mystery Thriller,Shutter Island,Shutter Island Leonardo DiCaprio Joseph Sikora Nellie Sciutto Mystery Thriller
Seth Gordon,Jon Favreau,Robert Duvall,Katy Mixon,Comedy Drama Romance,Four Christmases,Four Christmases Jon Favreau Robert Duvall Katy Mixon Comedy Drama Romance
Chris Wedge,Jim Broadbent,Drew Carey,Paula Abdul,Adventure Animation Comedy Family Sci-Fi,Robots,Robots Jim Broadbent Drew Carey Paula Abdul Adventure Animation Comedy Family Sci-Fi
John Woo,Nicolas Cage,CCH Pounder,Joan Allen,Action Crime Sci-Fi Thriller,Face/Off,Face/Off Nicolas Cage CCH Pounder Joan Allen Action Crime Sci-Fi Thriller
Adam Shankman,Adam Sandler,Carmen Electra,Kathryn Joosten,Comedy Family Fantasy Romance,Bedtime Stories,Bedtime Stories Adam Sandler Carmen Electra Kathryn Joosten Comedy Family Fantasy Romance
Sam Mendes,Tom Hanks,Jennifer Jason Leigh,Liam Aiken,Crime Drama Thriller,Road to Perdition,Road to Perdition Tom Hanks Jennifer Jason Leigh Liam Aiken Crime Drama Thriller
Dennis Dugan,Adam Sandler,Bailee Madison,Kevin Nealon,Comedy Romance,Just Go with It,Just Go with It Adam Sandler Bailee Madison Kevin Nealon Comedy Romance
unknown,Elden Henson,Royce Johnson,Charlie Cox,Action Adventure Crime Drama Sci-Fi Thriller,Daredevil            ,Daredevil             Elden Henson Royce Johnson Charlie Cox Action Adventure Crime Drama Sci-Fi Thriller
Simon West,Steve Buscemi,Monica Potter,Dave Chappelle,Action Crime Thriller,Con Air,Con Air Steve Buscemi Monica Potter Dave Chappelle Action Crime Thriller
D.J. Caruso,Rosario Dawson,Ethan Embry,Cameron Boyce,Action Mystery Thriller,Eagle Eye,Eagle Eye Rosario Dawson Ethan Embry Cameron Boyce Action Mystery Thriller
Anthony Minghella,Philip Seymour Hoffman,Natalie Portman,Charlie Hunnam,Adventure Drama History Romance War,Cold Mountain,Cold Mountain Philip Seymour Hoffman Natalie Portman Charlie Hunnam Adventure Drama History Romance War
Albert Hughes,Denzel Washington,Mila Kunis,Gary Oldman,Action Adventure Drama Thriller,The Book of Eli,The Book of Eli Denzel Washington Mila Kunis Gary Oldman Action Adventure Drama Thriller
Les Mayfield,Robin Williams,Jodi Benson,Sam Lloyd,Comedy Family Sci-Fi,Flubber,Flubber Robin Williams Jodi Benson Sam Lloyd Comedy Family Sci-Fi
Jan de Bont,Liam Neeson,Lili Taylor,Virginia Madsen,Fantasy Horror Mystery Thriller,The Haunting,The Haunting Liam Neeson Lili Taylor Virginia Madsen Fantasy Horror Mystery Thriller
Joe Pytka,Bill Murray,Wayne Knight,Michael Jordan,Adventure Animation Comedy Family Fantasy Sci-Fi Sport,Space Jam,Space Jam Bill Murray Wayne Knight Michael Jordan Adventure Animation Comedy Family Fantasy Sci-Fi Sport
Shawn Levy,Roger Rees,Henry Czerny,William Abadie,Adventure Comedy Crime Family Mystery,The Pink Panther,The Pink Panther Roger Rees Henry Czerny William Abadie Adventure Comedy Crime Family Mystery
Richard Donner,Julia Roberts,Alex McArthur,Michael Potts,Action Crime Mystery Romance Thriller,Conspiracy Theory,Conspiracy Theory Julia Roberts Alex McArthur Michael Potts Action Crime Mystery Romance Thriller
David Ayer,Brad Pitt,Logan Lerman,Jim Parrack,Action Drama War,Fury,Fury Brad Pitt Logan Lerman Jim Parrack Action Drama War
Ivan Reitman,Harrison Ford,Anne Heche,Amy Sedaris,Action Adventure Comedy Romance,Six Days Seven Nights,Six Days Seven Nights Harrison Ford Anne Heche Amy Sedaris Action Adventure Comedy Romance
Eric Brevig,Justin Timberlake,Tom Cavanagh,Josh Robert Thompson,Adventure Animation Comedy Family,Yogi Bear,Yogi Bear Justin Timberlake Tom Cavanagh Josh Robert Thompson Adventure Animation Comedy Family
Kelly Asbury,Matt Damon,Charles Napier,Zahn McClarnon,Adventure Animation Family Western,Spirit: Stallion of the Cimarron,Spirit: Stallion of the Cimarron Matt Damon Charles Napier Zahn McClarnon Adventure Animation Family Western
Frank Coraci,Rosario Dawson,Leslie Bibb,Nicholas Turturro,Comedy Family Romance,Zookeeper,Zookeeper Rosario Dawson Leslie Bibb Nicholas Turturro Comedy Family Romance
Stephen Hopkins,Gary Oldman,William Hurt,June Lockhart,Action Adventure Family Sci-Fi Thriller,Lost in Space,Lost in Space Gary Oldman William Hurt June Lockhart Action Adventure Family Sci-Fi Thriller
Jonathan Demme,Denzel Washington,Dorian Missick,Jose Pablo Cantillo,Drama Mystery Sci-Fi Thriller,The Manchurian Candidate,The Manchurian Candidate Denzel Washington Dorian Missick Jose Pablo Cantillo Drama Mystery Sci-Fi Thriller
Henry Jaglom,Vanessa Redgrave,Stephen Dillane,Michael Brandon,Drama Romance,Déjà Vu,Déjà Vu Vanessa Redgrave Stephen Dillane Michael Brandon Drama Romance
Genndy Tartakovsky,Steve Buscemi,Adam Sandler,Fran Drescher,Animation Comedy Family Fantasy,Hotel Transylvania 2,Hotel Transylvania 2 Steve Buscemi Adam Sandler Fran Drescher Animation Comedy Family Fantasy
unknown,Elizabeth Montgomery,Agnes Moorehead,Dick York,Comedy Family Fantasy,Bewitched            ,Bewitched             Elizabeth Montgomery Agnes Moorehead Dick York Comedy Family Fantasy
James Algar,Quincy Jones,Penn Jillette,Russi Taylor,Animation Family Fantasy Music,Fantasia 2000,Fantasia 2000 Quincy Jones Penn Jillette Russi Taylor Animation Family Fantasy Music
Simon Wells,Mark Addy,Alan Young,Josh Stamberg,Action Adventure Sci-Fi,The Time Machine,The Time Machine Mark Addy Alan Young Josh Stamberg Action Adventure Sci-Fi
Ron Underwood,Charlize Theron,Mika Boorem,David Paymer,Action Adventure Family Fantasy Thriller,Mighty Joe Young,Mighty Joe Young Charlize Theron Mika Boorem David Paymer Action Adventure Family Fantasy Thriller
Dominic Sena,Hugh Jackman,Don Cheadle,Sam Shepard,Action Crime Thriller,Swordfish,Swordfish Hugh Jackman Don Cheadle Sam Shepard Action Crime Thriller
Martin Campbell,Michael Emerson,Nick Chinlund,Adrian Alonso,Action Adventure Western,The Legend of Zorro,The Legend of Zorro Michael Emerson Nick Chinlund Adrian Alonso Action Adventure Western
Vincent Ward,Robin Williams,Annabella Sciorra,Rosalind Chao,Drama Fantasy Romance,What Dreams May Come,What Dreams May Come Robin Williams Annabella Sciorra Rosalind Chao Drama Fantasy Romance
Steven Brill,Adam Sandler,Jon Lovitz,Michael McKean,Comedy Fantasy,Little Nicky,Little Nicky Adam Sandler Jon Lovitz Michael McKean Comedy Fantasy
Terry Gilliam,Matt Damon,Heath Ledger,Mackenzie Crook,Action Adventure Comedy Fantasy Thriller,The Brothers Grimm,The Brothers Grimm Matt Damon Heath Ledger Mackenzie Crook Action Adventure Comedy Fantasy Thriller
Tim Burton,Natalie Portman,Martin Short,Lukas Haas,Action Comedy Sci-Fi,Mars Attacks!,Mars Attacks! Natalie Portman Martin Short Lukas Haas Action Comedy Sci-Fi
Lucile Hadzihalilovic,Nissim Renard,Roxane Duran,Julie-Marie Parmentier,Drama Horror Mystery Sci-Fi,Evolution,Evolution Nissim Renard Roxane Duran Julie-Marie Parmentier Drama Horror Mystery Sci-Fi
Lee Tamahori,Anthony Hopkins,Harold Perrineau,Bart the Bear,Action Adventure Drama Thriller,The Edge,The Edge Anthony Hopkins Harold Perrineau Bart the Bear Action Adventure Drama Thriller
Jonathan Mostow,Bruce Willis,Devin Ratray,Boris Kodjoe,Action Sci-Fi Thriller,Surrogates,Surrogates Bruce Willis Devin Ratray Boris Kodjoe Action Sci-Fi Thriller
Roger Donaldson,Bruce Greenwood,Jon Foster,Bruce Thomas,Drama History Thriller,Thirteen Days,Thirteen Days Bruce Greenwood Jon Foster Bruce Thomas Drama History Thriller
Rob Cohen,Sylvester Stallone,Viggo Mortensen,Amy Brenneman,Action Adventure Drama Thriller,Daylight,Daylight Sylvester Stallone Viggo Mortensen Amy Brenneman Action Adventure Drama Thriller
Barry Cook,Charlie Rowe,Tiya Sircar,Madison Rothschild,Adventure Animation Family,Walking with Dinosaurs 3D,Walking with Dinosaurs 3D Charlie Rowe Tiya Sircar Madison Rothschild Adventure Animation Family
Roger Christian,Richard Tyson,Michael Byrne,John Topor,Action Adventure Sci-Fi,Battlefield Earth,Battlefield Earth Richard Tyson Michael Byrne John Topor Action Adventure Sci-Fi
Joe Dante,Brendan Fraser,Jenna Elfman,Heather Locklear,Adventure Animation Comedy Family Fantasy Sci-Fi,Looney Tunes: Back in Action,Looney Tunes: Back in Action Brendan Fraser Jenna Elfman Heather Locklear Adventure Animation Comedy Family Fantasy Sci-Fi
Rob Marshall,Fergie,Elio Germano,Andrea Di Stefano,Drama Musical Romance,Nine,Nine Fergie Elio Germano Andrea Di Stefano Drama Musical Romance
Richard Donner,Paul Walker,Gerard Butler,Ethan Embry,Action Adventure Sci-Fi,Timeline,Timeline Paul Walker Gerard Butler Ethan Embry Action Adventure Sci-Fi
Kevin Costner,Olivia Williams,Brian Anthony Wilson,Larenz Tate,Action Adventure Drama Sci-Fi,The Postman,The Postman Olivia Williams Brian Anthony Wilson Larenz Tate Action Adventure Drama Sci-Fi
George Miller,Adam Goldberg,Elizabeth Daily,Glenne Headly,Adventure Comedy Drama Family Fantasy,Babe: Pig in the City,Babe: Pig in the City Adam Goldberg Elizabeth Daily Glenne Headly Adventure Comedy Drama Family Fantasy
Breck Eisner,Vin Diesel,Joseph Gilgun,Lotte Verbeek,Action Adventure Fantasy,The Last Witch Hunter,The Last Witch Hunter Vin Diesel Joseph Gilgun Lotte Verbeek Action Adventure Fantasy
Antony Hoffman,Bob Neill,Val Kilmer,Tom Sizemore,Action Sci-Fi Thriller,Red Planet,Red Planet Bob Neill Val Kilmer Tom Sizemore Action Sci-Fi Thriller
Luc Besson,Mia Farrow,Adam LeFevre,Penny Balfour,Adventure Animation Family Fantasy,Arthur and the Invisibles,Arthur and the Invisibles Mia Farrow Adam LeFevre Penny Balfour Adventure Animation Family Fantasy
Jacques Perrin,Pedro Armendáriz Jr.,Jacques Perrin,Rie Miyazawa,Documentary Drama,Oceans,Oceans Pedro Armendáriz Jr. Jacques Perrin Rie Miyazawa Documentary Drama
Peter Hyams,David Oyelowo,Catherine McCormack,Jemima Rooper,Action Adventure Horror Sci-Fi Thriller,A Sound of Thunder,A Sound of Thunder David Oyelowo Catherine McCormack Jemima Rooper Action Adventure Horror Sci-Fi Thriller
Paul W.S. Anderson,Sasha Roiz,Currie Graham,Dylan Schombing,Action Adventure Drama History Romance,Pompeii,Pompeii Sasha Roiz Currie Graham Dylan Schombing Action Adventure Drama History Romance
Andrés Couturier,Sariann Monaco,David Hoffman,Ben Diskin,Animation Family,Top Cat Begins,Top Cat Begins Sariann Monaco David Hoffman Ben Diskin Animation Family
Ron Howard,Adam Goldberg,Austin Pendleton,Judd Hirsch,Biography Drama,A Beautiful Mind,A Beautiful Mind Adam Goldberg Austin Pendleton Judd Hirsch Biography Drama
Roger Allers,Matthew Broderick,Nathan Lane,Niketa Calame,Adventure Animation Drama Family Musical,The Lion King,The Lion King Matthew Broderick Nathan Lane Niketa Calame Adventure Animation Drama Family Musical
Brad Peyton,Josh Hutcherson,Dwayne Johnson,Kristin Davis,Action Adventure Comedy Family Fantasy Sci-Fi,Journey 2: The Mysterious Island,Journey 2: The Mysterious Island Josh Hutcherson Dwayne Johnson Kristin Davis Action Adventure Comedy Family Fantasy Sci-Fi
Cody Cameron,Will Forte,Khamani Griffin,Melissa Sturm,Animation Comedy Family Fantasy Sci-Fi,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2 Will Forte Khamani Griffin Melissa Sturm Animation Comedy Family Fantasy Sci-Fi
Brett Ratner,Philip Seymour Hoffman,Anthony Hopkins,Emily Watson,Crime Drama Thriller,Red Dragon,Red Dragon Philip Seymour Hoffman Anthony Hopkins Emily Watson Crime Drama Thriller
Joe Johnston,J.K. Simmons,Viggo Mortensen,Peter Mensah,Action Adventure Western,Hidalgo,Hidalgo J.K. Simmons Viggo Mortensen Peter Mensah Action Adventure Western
Dennis Dugan,Al Pacino,Adam Sandler,Tim Meadows,Comedy,Jack and Jill,Jack and Jill Al Pacino Adam Sandler Tim Meadows Comedy
John Singleton,Paul Walker,Cole Hauser,Mo Gallini,Action Crime Thriller,2 Fast 2 Furious,2 Fast 2 Furious Paul Walker Cole Hauser Mo Gallini Action Crime Thriller
Mark Osborne,Jeff Bridges,James Franco,Mackenzie Foy,Adventure Animation Drama Family Fantasy,The Little Prince,The Little Prince Jeff Bridges James Franco Mackenzie Foy Adventure Animation Drama Family Fantasy
Oliver Hirschbiegel,Roger Rees,Veronica Cartwright,Jeremy Northam,Sci-Fi Thriller,The Invasion,The Invasion Roger Rees Veronica Cartwright Jeremy Northam Sci-Fi Thriller
Des McAnuff,Robert De Niro,Janeane Garofalo,Jonathan Winters,Adventure Animation Comedy Family Fantasy,The Adventures of Rocky & Bullwinkle,The Adventures of Rocky & Bullwinkle Robert De Niro Janeane Garofalo Jonathan Winters Adventure Animation Comedy Family Fantasy
Yarrow Cheney,Steve Coogan,Eric Stonestreet,Albert Brooks,Animation Comedy Family,The Secret Life of Pets,The Secret Life of Pets Steve Coogan Eric Stonestreet Albert Brooks Animation Comedy Family
Stephen Norrington,Jason Flemyng,Max Ryan,Tony Curran,Action Adventure Fantasy Sci-Fi,The League of Extraordinary Gentlemen,The League of Extraordinary Gentlemen Jason Flemyng Max Ryan Tony Curran Action Adventure Fantasy Sci-Fi
Pierre Coffin,Steve Carell,Miranda Cosgrove,Steve Coogan,Animation Comedy Family Sci-Fi,Despicable Me 2,Despicable Me 2 Steve Carell Miranda Cosgrove Steve Coogan Animation Comedy Family Sci-Fi
Roland Emmerich,Will Smith,Adam Baldwin,Mary McDonnell,Action Adventure Sci-Fi,Independence Day,Independence Day Will Smith Adam Baldwin Mary McDonnell Action Adventure Sci-Fi
Steven Spielberg,Ariana Richards,Richard Schiff,Vanessa Lee Chester,Action Adventure Sci-Fi,The Lost World: Jurassic Park,The Lost World: Jurassic Park Ariana Richards Richard Schiff Vanessa Lee Chester Action Adventure Sci-Fi
Eric Darnell,Jada Pinkett Smith,Cedric the Entertainer,Andy Richter,Adventure Animation Comedy Family,Madagascar,Madagascar Jada Pinkett Smith Cedric the Entertainer Andy Richter Adventure Animation Comedy Family
Alfonso Cuarón,Charlie Hunnam,Danny Huston,Rita Davies,Drama Sci-Fi Thriller,Children of Men,Children of Men Charlie Hunnam Danny Huston Rita Davies Drama Sci-Fi Thriller
Bryan Singer,Hugh Jackman,Tyler Mane,Bruce Davison,Action Adventure Sci-Fi,X-Men,X-Men Hugh Jackman Tyler Mane Bruce Davison Action Adventure Sci-Fi
Timur Bekmambetov,Angelina Jolie Pitt,Morgan Freeman,Common,Action Crime Fantasy Thriller,Wanted,Wanted Angelina Jolie Pitt Morgan Freeman Common Action Crime Fantasy Thriller
Michael Bay,Nicolas Cage,Michael Biehn,Bokeem Woodbine,Action Adventure Thriller,The Rock,The Rock Nicolas Cage Michael Biehn Bokeem Woodbine Action Adventure Thriller
Carlos Saldanha,Denis Leary,Ray Romano,Jay Leno,Action Adventure Animation Comedy Family Fantasy,Ice Age: The Meltdown,Ice Age: The Meltdown Denis Leary Ray Romano Jay Leno Action Adventure Animation Comedy Family Fantasy
Peter Segal,Adam Sandler,Peter Dante,Allen Covert,Comedy Romance,50 First Dates,50 First Dates Adam Sandler Peter Dante Allen Covert Comedy Romance
Adam Shankman,Jerry Stiller,Elijah Kelley,Paul Dooley,Comedy Drama Family Music Musical Romance,Hairspray,Hairspray Jerry Stiller Elijah Kelley Paul Dooley Comedy Drama Family Music Musical Romance
Renny Harlin,James D'Arcy,Alan Ford,Izabella Scorupco,Horror Mystery Thriller,Exorcist: The Beginning,Exorcist: The Beginning James D'Arcy Alan Ford Izabella Scorupco Horror Mystery Thriller
